#,type,conscieniousness,agreeable,extraversion,neuroticism,openness
89,INTP,35.67540458,69.38253467,32.55346855,91.44792841,73.47153795
90,ENTP,66.32779326,30.92381346,26.08074969,92.55976313,48.20917676
91,INTP,50.52209234,64.71786663,53.22359691,69.87946329,77.87113621
92,ISFP,21.69848706,35.490264,67.62801913,98.37343593,80.10069558
93,ENFJ,78.85976138,57.21435797,42.03046512,78.0137936,57.60137918
94,INFJ,55.01376709,27.66032829,11.95304726,99,52.27771341
95,INFP,50.63154995,46.05484983,50.33388969,75.99186524,86.74519069
96,INFJ,43.52417819,58.68915806,an,95.56853657,68.2717645
97,INTJ,23.92737956,67.16128221,47.65439086,77.3955145,70.54201892
98,INFJ,32.65292801,52.48495045,13.1287663,96.13914747,82.479016
99,ENFP,53.41771123,57.01535934,52.55035426,98.44074386,68.88397635
100,INFP,39.48446035,61.25671311,31.05147585,73.21234187,74.91683304
101,INFP,33.12318058,31.69339507,50.49401153,95.52115504,79.3877866
102,ENFP,3.967365884,35.23497128,21.36122859,99,92.00123963
103,INFJ,4.991850773,49.19535532,42.97270524,96.91242379,92.16120299
104,ISTP,26.66093003,16.41027758,23.42380601,99,49.15310805
105,INFJ,58.2417113,59.08968307,35.18191508,92.14380299,69.59313936
106,ISTJ,63.96343336,47.02005202,51.96018122,73.03123826,66.12011812
107,ENFJ,76.33450714,38.23881396,42.0964002,93.06493799,48.49383383
108,INTP,8.373333501,71.55082147,31.39539865,72.68303722,88.28950544
109,INTJ,39.52723255,57.13570908,27.78646431,94.47438599,52.24750964
110,ENTP,31.94157801,55.2968729,16.20305913,98.1378845,43.99808804
111,INFP,31.00925975,49.13806145,19.54008515,97.78760683,40.96097979
112,INFP,36.07260574,47.72116112,27.69512741,97.1342227,59.55578304
113,ESTP,4.302092707,55.79068004,52.36851666,99,93.86893493
114,ISTP,8.185562261,12.32486026,28.26076625,99,83.42424462
115,ENFP,20.44836397,71.20611267,24.98743782,96.66217016,73.86923418
116,ENTP,69.85667348,67.29153099,57.64209696,49.15405904,46.9573462
117,INTP,37.25950634,40.57734567,35.87660641,85.61204627,41.1963087
118,INFJ,53.65256602,56.59697669,29.8698747,78.26979101,74.08765768
119,ENFP,30.6571336,62.20383024,51.67253673,84.727239,83.19178486
120,ENTP,10.89358008,32.66795694,31.50010163,99,77.58922035
121,INTP,22.76399675,86.10220597,47.89701425,80.22305998,66.22560122
122,INFJ,66.78837438,42.5036781,23.15237949,84.46289527,70.12689169
123,ISTP,20.79807313,37.70598204,23.19043639,97.72595935,71.72859715
124,INTP,48.64029949,45.72418432,52.74327384,66.04571773,76.67005574
125,INTJ,21.38601397,21.24180776,15.99469188,99,61.05238593
126,ENTP,14.4577525,29.2177738,35.94598151,99,65.27711479
127,INFJ,47.86814143,48.63660144,26.1818829,94.35989338,80.59684306
128,INFJ,23.3715513,24.72979311,19.09746413,99,69.55237673
129,INFJ,34.14153046,51.16773073,41.03691634,86.85587105,75.6531805
130,ENTJ,60.67522408,35.96085686,27.66819395,97.02367831,32.28896121
131,ISFJ,18.17690012,44.55621388,8.50299212,99,68.42039288
132,INFP,36.40320635,33.40570326,34.39290471,99,82.35681941
133,INFJ,7.687094307,32.0509063,26.79454224,99,69.61137925
134,INTP,25.58596659,62.4950406,62.09700864,91.48336257,79.28340923
135,INFJ,51.28298378,58.77045728,36.07127212,80.70720145,46.65621535
136,INFP,49.78947996,52.28636497,31.9089641,87.36891424,58.06663461
137,INTP,40.97490444,20.85928021,31.76895721,99,54.03404031
138,INFP,9.831408083,49.5310573,24.02023441,99,93.12234935
139,ISFP,23.56078866,68.40437846,20.75869162,96.06635489,59.98238589
140,INTP,11.13251795,30.78558834,45.36535097,98.7724895,74.4309576
141,INFP,6.326547836,61.87808463,15.71590923,98.87637285,90.50174459
142,ENFP,28.50306548,43.78093654,45.45021698,92.95691085,80.71535762
143,ENFP,8.307339646,47.74652902,23.57886876,98.12112855,86.66315334
144,ENTP,31.23486093,47.37266698,61.20818006,82.98862193,71.54833659
145,INFJ,17.98588241,62.09541457,57.49811044,95.45181547,59.76009658
146,INFJ,68.64466821,34.27349549,61.68431723,74.42500716,79.45153887
147,ENTP,56.25323318,46.00692984,46.27343527,66.9754214,83.81133286
148,INFP,7.784465247,38.61761509,29.23565149,98.92729664,88.58408615
149,INFP,22.68687261,48.86813068,68.83708087,80.15390442,83.07864292
150,INTP,33.38756146,50.98561162,22.62781101,92.58521508,73.11160578
151,INFJ,52.67049639,77.09267792,47.26449864,84.79653301,64.95206699
152,ENFP,58.97408436,35.3983189,38.15115614,84.35294218,63.14273374
153,ENFP,19.61818835,36.47898729,40.23038564,96.53615019,74.09197474
154,INTP,22.29053078,40.52731928,33.92266089,92.16237355,72.81400204
155,ENTP,57.77430401,60.3596829,78.95742043,76.69962863,73.29889097
156,INTJ,39.81269854,59.80352956,46.63857742,79.78675791,68.67861511
157,INTP,5.937858745,81.5701586,54.84954718,85.62026828,82.74144012
158,ENTP,8.25055159,33.80850178,21.32265485,98.94143668,85.68923198
159,ENFP,57.67016337,49.54919618,29.1128002,70.65224023,80.0146355
160,ESTP,17.55316746,39.95877377,28.01877502,99,63.99412548
161,INTJ,17.65275572,46.90053094,30.80961437,93.06319569,60.58491783
162,INTP,6.819641203,24.48609226,13.15068464,99,82.46833541
163,ENTP,19.6097805,38.19490069,36.09059656,99,67.61223289
164,INFP,24.97074205,61.33387442,40.83376207,86.86877758,88.83635293
165,INFJ,8.579544184,51.45465222,76.59943958,99,82.59862276
166,INFJ,79.49152131,42.81307713,56.97847254,85.51603269,74.32143171
167,INTJ,19.50717522,76.55532668,70.77751555,93.33620269,91.8695495
168,ENFP,12.66345577,21.56606719,9.876668431,99,56.32676124
169,INTJ,69.25723972,34.43071912,15.0934174,89.53876525,42.00956737
170,INTJ,5.819591894,79.88830224,35.65222449,83.49474913,65.17802197
171,INTP,11.98281998,44.44401839,34.05893614,99,48.35283165
172,ISFJ,38.02089172,62.97686553,64.00580656,86.58876684,84.03707794
173,INTP,8.964621489,53.18963905,35.47443199,99,63.30114785
174,ISTP,48.70150975,52.78208362,34.90948118,92.82354612,75.76582902
175,INTP,14.70474281,43.60257808,9.04964457,97.02362772,91.93422388
176,INTP,21.83335326,65.28650185,27.2019346,97.49775671,53.0865253
177,INTP,49.65619211,36.32967881,13.72695989,99,60.58657354
178,INTP,4.96988529,50.3837985,37.81658179,97.07955437,89.75875227
179,INFP,27.16325183,48.89857429,25.16938308,99,88.02474262
180,ENTP,42.96276092,42.80922407,38.82906832,96.17982789,65.56477444
181,INFP,35.62042697,58.1729893,27.44713709,82.09662031,84.33203932
182,INTP,27.26966436,64.24269454,26.63026645,88.4308189,75.98671161
183,INTJ,27.04408813,77.09484361,44.04552215,81.80908045,70.04950466
184,ENTP,25.71296708,48.20949289,24.2516039,95.70063919,66.74689871
185,INFJ,29.08137534,39.12657981,27.92151435,97.01219827,I
186,INTJ,46.35321751,39.7000874,26.98810424,87.45123055,81.35224039
187,INTP,36.16689569,48.37673457,50.32268428,89.80999773,48.66701039
188,ISTP,10.44182656,26.69202306,17.68139144,99,75.89682757
189,ISTJ,17.53888855,74.22111988,30.01887233,97.94263642,75.65635498
190,INFP,46.27665237,51.89651813,19.75357538,92.34816868,75.26564021
191,INTJ,45.12431235,59.53713372,41.88650079,86.11014741,58.05905963
192,ENFP,12.27337703,44.57737443,34.13727879,99,84.92148175
193,INFP,43.67947309,80.10056203,4.64836319,69.14202497,62.06878337
194,INTP,37.31973876,69.5249658,61.04848471,75.38276729,83.372902
195,INTJ,22.81815212,52.91709629,28.75691484,97.75600921,76.90485882
196,INTJ,7.770662637,55.03118454,64.3392626,96.94539734,86.12995206
197,INFP,56.98406269,47.76995234,18.02083074,86.34628002,81.17645312
198,INTP,36.14735516,39.75773824,27.58247942,99,73.97004316
199,INTP,19.24588641,42.54371015,35.69194115,98.30166368,60.66942333
200,ESFP,44.8535519,64.69799037,49.17318968,75.21100633,71.83219838
201,INTJ,19.42725464,58.6970235,20.82048212,96.3110939,77.51810773
202,ISFP,36.83637113,71.9008267,57.42419315,70.04394915,91.61906773
203,INFJ,32.04220096,48.19354139,63.61525137,96.40767989,59.37882904
204,INTJ,20.10430976,83.60691022,32.53313656,69.86460242,91.53036766
205,INTJ,36.48561777,56.94295077,24.47509428,92.36919081,84.38443378
206,INTP,46.15069776,38.74789756,40.29111323,86.60425222,48.4324254
207,INTP,18.10096355,67.69803896,21.34473236,97.25471524,85.21694955
208,INFP,45.96108911,39.13692723,29.6908672,94.24684745,69.82480037
209,ENFP,13.52694572,67.7449924,69.04826985,92.06502603,87.97088074
210,INFP,14.3193527,36.87680173,23.45574446,99,76.65640247
211,INFP,75.99358444,74.50034796,82.79325037,73.44273467,59.60836069
212,INFP,26.67410354,71.91153659,44.63258847,86.3711475,87.39677233
213,INFP,10.90625469,41.52150068,42.86162972,92.46758705,88.60192654
214,INTP,18.64189888,76.2661416,46.11478387,78.75541546,88.40773956
215,INTP,64.94339765,52.16898936,65.93367401,81.00059812,40.32095533
216,INFP,21.77957577,34.92332808,18.02904392,99,65.90967588
217,INFP,46.53410557,51.46224036,44.05954278,85.47159679,64.15275092
218,INFP,17.04972436,37.12566906,39.46637133,99,86.63746152
219,INFJ,49.37525286,57.69049878,11.3204819,95.12585895,72.90286281
220,ENFP,12.35681413,67.03623,33.9505339,87.8519738,54.73134576
221,INTJ,32.30353009,75.29587294,27.432864,88.30303966,85.42192876
222,INFJ,44.67128783,78.86881733,69.08121344,66.34170015,71.05497948
223,INFJ,21.04896776,40.22104808,20.83818829,95.84504375,82.6322195
224,ENTP,26.34194941,56.82230304,74.60174072,91.00390419,46.43250592
225,INTP,26.63699096,62.5674609,35.13612606,94.61374755,91.11035321
226,INTP,26.51148256,46.67638429,24.93823203,93.70067522,74.85646024
227,INFP,9.140901736,63.57363294,23.6621498,99,79.12482067
228,INFP,45.63153376,71.9917178,50.0834688,85.75587579,77.7194901
229,INFJ,59.15080803,25.13957852,34.21542346,98.38058693,73.38893977
230,INTP,48.77825882,47.08685798,28.07942769,79.37271888,74.1356475
231,INFP,38.12121918,60.23089305,36.92230367,82.19131773,56.51510673
232,INTP,4.912029301,42.37705352,19.05721803,99,93.54913573
233,INFP,12.85975549,59.58826732,48.8326385,99,65.78352703
234,INFJ,26.22398757,64.82137649,44.53289084,99,70.33100352
235,ENFJ,84.29433632,55.9158801,43.93794365,91.54639094,41.48694314
236,ISTP,15.90595322,54.13299642,29.91665831,98.64607196,85.14634115
237,INTJ,35.34131791,39.3910459,38.97814358,97.28975248,66.7063887
238,INFP,22.32016462,38.72213885,41.00260392,98.16008531,84.01977085
239,ISFP,54.34278731,37.74627574,42.63421867,97.80946511,45.62067695
240,ENTJ,49.57796476,21.67181033,23.19826242,99,59.06051379
241,ENTP,21.27838185,26.07147596,67.7509265,97.67212634,65.35677497
242,ISFP,12.88502877,26.32038472,28.24410621,98.26471491,86.32427214
243,ENFP,61.07008818,43.78327056,63.73624831,92.09242974,78.30945913
244,INFP,30.04638632,43.26927571,28.37694506,88.63991456,40.4188136
245,ENFP,30.20648591,24.69310281,3.963147349,99,75.54744216
246,ENTP,32.92325707,76.7704386,47.19576714,76.79531698,75.71501401
247,INFP,25.85678099,37.07479223,40.19340447,99,78.05751615
248,INFP,48.46231484,44.17393317,23.9399839,99,54.44733916
249,ISFP,56.06510993,59.57735153,31.54514017,80.6602654,68.41645455
250,INFP,66.50591479,41.69325053,52.92193167,89.58286653,55.70927982
251,INFJ,30.99898023,45.82344102,42.88010183,96.78178277,66.15985188
252,ENTP,43.31355813,61.91458675,56.79135718,92.60321582,72.12772166
253,INFP,48.12048528,55.57572294,26.26843167,92.30898017,74.52944459
254,ISTP,5.251511951,44.34432199,54.35562494,99,86.64475225
255,INTJ,34.02589229,18.42847984,34.64632162,99,54.16727927
256,INTP,29.66365592,38.10299997,15.69927595,98.93726477,58.15278454
257,INFJ,65.42725361,50.07645857,39.86009947,80.05480987,68.34633325
258,ISTJ,18.18533126,66.4882901,26.47383022,93.53701823,68.91055976
259,INTJ,4.547039251,29.05085759,14.34450508,99,76.97279762
260,INFP,17.45334434,39.17471683,20.35209443,99,68.265679
261,INFJ,9.884902162,32.62016215,4.40498628,99,85.62274449
262,INTJ,34.4841473,73.79794096,24.56585743,90.36053024,60.72386866
263,ENFJ,41.76831701,67.58376449,39.83708441,84.74511015,83.22657248
264,INFP,31.29064457,59.56785848,42.63732398,95.31810183,64.91697818
265,INFP,13.66549535,49.15603451,68.24135393,99,82.25655405
266,ISTJ,63.95027693,41.86394403,19.20139242,83.80263695,59.60976668
267,ISTJ,48.92659169,59.33779874,35.14943209,89.75364987,58.03583956
268,ISFP,17.98426872,59.0502568,31.15437963,95.93592712,86.10527995
269,INFP,9.535738852,38.25967566,61.89146402,99,87.16229129
270,INFJ,36.29038043,45.04856464,17.83738141,99,56.47699951
271,INFP,29.55945312,37.80922014,23.18025689,97.5160023,51.60529018
272,INTP,12.32369532,57.11765699,28.9466707,89.97793349,79.94318719
273,INFP,31.570652,13.19514336,4.219109335,99,69.69824328
274,INTP,42.17765444,38.88307884,17.73192359,99,37.15216639
275,INTJ,34.35952936,44.0907836,52.81879301,88.65387408,64.18981142
276,INTJ,29.41748674,65.89727435,51.30429797,85.24918863,45.06864689
277,INFJ,38.59875906,34.77641921,30.21592142,98.58466616,64.27457601
278,INFP,45.66069682,52.75249586,35.62644368,89.4949316,45.62634648
279,INTP,26.26424875,45.10346202,32.91568232,89.97434883,64.90718375
280,INTJ,44.36278995,51.26156925,29.65138806,92.27594798,60.30191803
281,ENFP,55.90092648,73.83862554,28.25535575,78.35546894,66.79908136
282,INFP,31.8154145,66.06026895,24.0843831,92.88885793,43.97587249
283,INTP,19.06075105,55.62771544,40.94798681,98.39031085,88.87228865
284,ENTJ,57.1242222,57.70485074,52.9592444,57.3802701,47.25222887
285,INTJ,9.879844708,77.476266,39.27053496,96.58105405,73.64258152
286,INFJ,27.90831865,75.38541945,27.12202104,88.09416788,63.69044478
287,INFP,31.45711546,45.95005116,45.56916061,93.64360004,have
288,ENTJ,29.43676923,48.30760052,35.26208427,98.22040502,46.34000662
289,INTP,21.0361523,48.7246337,31.02855208,98.4042274,84.57176461
290,INTP,50.28922151,34.90549947,19.88951699,99,41.01421014
291,INFP,40.95023108,45.30705598,7.134822374,99,78.07035932
292,INTP,19.55065822,15.43476457,14.75726446,99,80.11401215
293,ENTP,9.109404873,16.71629813,37.13370139,99,69.8682658
294,INTJ,30.82886924,46.75060401,16.25760565,96.01178927,32.20804858
295,INTP,20.12565684,62.441583,27.07837269,95.27529017,80.42894484
296,INTJ,25.25871043,52.77439715,31.64632011,99,74.18756002
297,INFP,48.86356009,46.17200688,2.680338233,95.59887516,62.64818443
298,INFJ,83%.,35%.,65%.,50.60734546,would
299,INFJ,26.45429353,33.43796611,55.32802494,97.47067358,69.93684522
300,INFP,52.90840378,37.42275144,29.30470103,91.2933962,70.9310139
301,ENFP,49.03241413,71.75818896,71.37094266,73.29063987,44.90723724
302,INTP,36.42992188,49.80878879,22.87580783,98.24511692,63.21343799
303,ISTP,19.08954777,48.94725459,15.37723103,98.76865807,72.94355291
304,INTJ,21.1176784,25.48377419,19.75341586,99,80.05546985
305,ENFP,8.576941988,49.85188742,29.4794282,99,90.82002331
306,ENFP,34.60314329,57.64926586,23.06348598,77.77099569,73.21785621
307,ENTP,17.01216559,39.7688723,35.90491024,99,74.15198528
308,INTP,52.53109201,75.03675176,22.99955051,72.54377889,62.72331819
309,INFJ,61.33681675,32.02598314,20.35255355,99,56.87451602
310,INTJ,39.43138896,34.30639129,56.38299558,97.45648746,62.84016253
311,INFP,62.79356284,54.2053362,32.52330439,76.75721009,76.22162809
312,ENFP,57.05632633,50.36760344,35.44550761,94.69858343,49.43459992
313,ENFJ,52.20095718,57.68648012,45.05878935,95.30702319,68.54166007
314,ENTP,27.86907766,35.99183533,35.55751197,97.04482899,64.21517267
315,ISFP,39.20830756,28.4699571,19.40984215,99,66.62159403
316,INFP,34.05284899,70.58546018,55.61017482,78.4759005,74.33839198
317,INFP,15.44425921,63.12040954,38.37054928,96.92477565,66.87080005
318,INFP,26.77418072,35.5372416,38.62143984,98.72360097,68.9564218
319,INTJ,70.8568534,64.54704443,34.63217593,81.2041022,45.60157929
320,ENTP,22.77951321,34.12795557,24.58052783,99,46.08065999
321,ENTP,61.23200276,30.99543561,35.07393731,92.79881609,45.86067597
322,INTP,12.6199983,42.92179169,38.2119772,95.34464068,77.02753331
323,INTP,23.19537907,28.68782102,33.9211821,99,78.72796991
324,INFJ,62.47519669,50.42460776,52.57562742,92.59007821,70.77503357
325,INFJ,53.48490489,37.71554734,10.96490024,98.44182442,76.8237218
326,INTP,15.33838178,37.96091842,50.80203637,96.02473533,74.02575591
327,ENFP,13.07089324,66.73982714,34.15667469,93.21207449,45.94725899
328,INFP,36.143253,31.68336891,19.64464805,99,58.58180747
329,INTJ,42.58890719,51.68105184,13.41247288,97.03706278,62.46217561
330,INTJ,79.25962331,34.16084381,13.00005704,98.37227738,--
331,INFP,16.31900015,36.99573985,21.53978302,99,73.0790003
332,INFP,70.94118151,65.6643936,43.89720498,74.821095,55.57683504
333,INFP,40.24647155,67.1907613,35.62846117,93.48496221,75.1662205
334,ISFP,44.93787188,80.11314185,60.07768034,68.01730015,91.38476255
335,ISFJ,54.96296918,40.11891665,24.51596514,98.55656432,54.52102434
336,INFP,33.76664053,33.38515925,10.21618434,99,65.07415047
337,INTP,55.80044686,44.66123769,17.71419721,87.69183942,70.82033343
338,INFP,21.74679493,12.60514278,9.983707063,99,60.46570508
339,INTJ,28.7232146,78.3132003,44.54612325,64.36608291,70.53891393
340,INTJ,35.16834651,52.17038852,33.5649331,96.74709065,83.7141994
341,ENTP,15.10794232,30.20151425,20.64596471,98.79416307,63.40426884
342,ENFJ,59.42085041,41.06812787,31.44589094,99,66.39582091
343,ISFJ,41.54216825,53.9306027,57.07079825,95.57326712,37.98669373
344,INTP,31.69183841,67.73509462,28.43702072,91.50268643,58.79848154
345,ISFP,49.34321895,49.91338262,34.28565049,84.41208532,64.30361751
346,ESTP,30.63546092,26.60509585,44.44388194,99,60.69697677
347,INFP,20.52156013,67.64891681,35.11129856,91.65641224,74.42050883
348,INTP,16.68470916,86.35829115,36.96846185,82.42852192,80.47693613
349,INTJ,76.39990847,51.23963992,28.0855887,88.84271762,33.29009554
350,INFP,68.26036664,48.71972188,12.52388532,88.44718637,65.01621609
351,INTJ,47.54841378,36.76444885,26.88367228,94.71235057,36.91743302
352,INFP,40.03437462,63.5691752,17.22398738,93.50659186,71.7133619
353,INFP,41.26610862,25.15917176,35.75096635,99,80.68009242
354,INFJ,36.79197908,40.33237705,28.61717319,89.64766214,71.21835271
355,INFP,17.49628337,26.67389713,54.28922094,99,95.04943042
356,ENTP,29.36716676,54.60455181,23.43278344,88.71720185,63.95595767
357,INTP,17.44798229,32.91588163,9.902552174,99,58.57265232
358,INTP,25.20341572,59.66445807,30.00517366,86.43019288,76.29014928
359,INFJ,50.52200642,55.61372589,31.16638741,93.82473984,47.22535986
360,ENFP,33.74695318,78.05397199,74.72492977,89.19013412,66.74069938
361,INTJ,45.80920122,67.3866787,32.79460512,86.97503622,56.61973202
362,ENTP,10.2610256,55.49946956,35.44253196,95.12909553,87.27680757
363,ENFP,46.68727445,70.16430221,35.47994652,74.08880562,53.80708252
364,INFJ,46.30682772,73.08357335,38.03631606,56.99622697,75.46563329
365,ISTJ,53.87304102,43.70570052,26.09209239,94.55707834,71.27212414
366,INFP,45.01961033,43.2726167,45.24406195,90.79425258,69.97455581
367,INFP,15.49186413,43.77080449,48.71448397,94.40579524,81.64769308
368,INFP,45.56603591,39.9876938,37.83409743,94.58727206,46.23205424
369,INTJ,4.595545287,65.63400079,25.0900271,96.2232,56.84825616
370,INTJ,56.27571535,54.42374247,25.36193587,89.60970632,55.54491683
371,INFP,60.60351626,13.43773664,32.81917298,96.54174587,32.46475812
372,INFJ,67.74243915,63.62983174,46.7357065,74.08606976,46.09778625
373,INFP,38.00365071,34.37018741,6.912861998,99,62.9273292
374,INFP,50.18537088,48.69962542,32.91800808,91.33354979,86.05812538
375,ENTP,40.7225413,71.64513532,a,81.51646277,63.95497982
376,INTJ,46.4539544,53.73014788,52.33050149,81.90430773,70.7403397
377,INFP,36.60622301,67.0604079,34.75393003,96.3667104,79.94385129
378,INTJ,4.989554643,57.89996937,56.56511787,97.92271395,76.89246109
379,INTJ,26.33054522,89.24978139,30.84522337,90.40241115,75.38776013
380,INFP,23.15027153,60.42116751,7.466624483,98.97692554,80.11697931
381,ENFP,30.34343531,49.37756492,28.56609516,98.36439537,49.94325061
382,ISTP,14.46900535,97.64689936,17.18689815,10.36780627,62.53440325
383,INFP,52.85850001,33.3883739,43.09687229,97.62704039,68.71486833
384,ISFP,79.20945004,71.44374119,67.05776877,88.85121479,39.87308576
385,INFP,17.90171096,24.17868552,2.309759423,99,62.27369313
386,ENFP,46.27994847,57.70633197,8.300587505,94.13016354,64.91422374
387,ENTJ,6.435434661,61.43800725,50.26871927,98.80638234,84.93906517
388,ENFP,57.30831295,53.21766312,46.6158822,81.80038327,68.34646909
389,INFJ,7.505905061,39.61605391,7.036209465,99,85.08852833
